region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
Mediterranean,"August 29, 2018",2018,52,6,NA,NA,Presumed drowning,"Unspecified location in the Alboran Sea, between Morocco and Spain. Bodies recovered near Marsa Ben M’hidi, Tlemcen, Algeria and Plage de Saïdia, Morocco","35.173443204721, -2.208013621094","https://www.facebook.com/watchthemed.alarmphone/posts/2216612265279671, https://bit.ly/2Ah4I5O, https://bit.ly/2EpdbIe, https://bit.ly/2N3di01, https://bit.ly/2CJcys7"
US-Mexico Border,"August 28, 2018",2018,1,NA,NA,NA,Unknown,"Unspecified - Dimmit, Edwards, Kinney, Maverick, Real, Uvalde or Zavala County, Texas, USA","29.226621585441, -100.363238881250",https://bit.ly/2NxqgiP
US-Mexico Border,"August 28, 2018",2018,2,NA,2,NA,Drowning,"Canal in El Paso's Lower Valley, El Paso County, Texas, USA","31.661041531089, -106.256308555600",https://bit.ly/2MEA91U
US-Mexico Border,"August 28, 2018",2018,1,NA,1,NA,Unknown,"Near Hebbronville, Jim Hogg County, Texas, USA","27.209042291842, -98.672858435937",https://bit.ly/2MEGyu0
US-Mexico Border,"August 27, 2018",2018,1,NA,1,NA,Dehydration,"Ranch west of Falfurrias on U.S. Highway 285, Brooks County, Texas, USA","27.230363790235, -98.193377309015",https://bit.ly/2ozQ2YR
US-Mexico Border,"August 27, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.057701900000, -112.143021500000",http://www.humaneborders.info/app/map.asp
Central America,"August 26, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks netween Chinameca and Oteapan, Veracruz, Mexico","18.013663192839, -94.670495381476","https://bit.ly/2BQn14x, https://bit.ly/2BMPSXw, https://bit.ly/2Nm2c2q, https://bit.ly/2N1XUME"
US-Mexico Border,"August 26, 2018",2018,1,NA,1,NA,Unknown,"Ranch near Freer, Webb County, Texas, USA","27.777139204350, -98.712549980078",https://bit.ly/2wsIt9Y
Central America,"August 25, 2018",2018,2,1,1,1,Vehicle Accident,"Highway Torreón-Saltillo, near Éjido San Rafael de los Milagros, Parras de la Fuente, Coahuila, Mexico","25.476931063531, -102.172678989800","https://bit.ly/2oaEpr0, https://bit.ly/2wwegHg, https://bit.ly/2ocFC13"
Mediterranean,"August 24, 2018",2018,2,NA,1,NA,Presumed drowning,"Off the coast of Alboran Island, Spain","35.948636914561, -3.036400745508","https://bit.ly/2obVCAz, https://bit.ly/2PHgQTy, https://bit.ly/2PHCGX1"
US-Mexico Border,"August 24, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near Reynosa Díaz, Tamaulipas, Mexico","26.202446800000, -98.447132200000","https://bit.ly/2ocBdeD, https://bit.ly/2NnwphF"
US-Mexico Border,"August 24, 2018",2018,1,NA,NA,NA,Unknown,"Near La Grulla, Starr County, Texas, USA","26.263280364681, -98.649906351343",https://bit.ly/2MB2tSK
US-Mexico Border,"August 23, 2018",2018,1,1,NA,NA,Drowning,"Río Bravo, near Colonia Claudette, Nuevo Laredo, Tamaulipas, Mexico","27.429079596371, -99.493085820933","https://bit.ly/2LvgXhx, https://bit.ly/2wzGXmH"
Mediterranean,"August 22, 2018",2018,2,NA,NA,NA,Unknown,68nm south of Malta,"34.880925997214, 14.210621078125","https://bit.ly/2N6rn8W, https://bit.ly/2w4ZM1y"
US-Mexico Border,"August 21, 2018",2018,1,NA,1,NA,Exposure,"Pima County, Arizona, USA","32.057701900000, -112.143021500000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"August 21, 2018",2018,1,NA,NA,NA,Presumed drowning,"Water basin south of Mercedes, Hidalgo County, Texas, USA","26.130072391335, -97.914126184131",https://bit.ly/2o2VRhi
US-Mexico Border,"August 21, 2018",2018,1,NA,NA,NA,Unknown,"Unspecified location, Kenedy County, Texas, USA","26.869714700000, -97.698227200000",https://bit.ly/2LiiCa7
Mediterranean,"August 20, 2018",2018,9,NA,1,NA,Drowning,"Off the coast of Ajim, Djerba, Médenine Governorate, Tunisia","33.715692455135, 10.733058079687","https://bit.ly/2PxVRSK, https://bit.ly/2MMAJd9, https://bit.ly/2LlVW8O, https://bit.ly/2PaDySF, https://bit.ly/2MCOzzH"
US-Mexico Border,"August 19, 2018",2018,2,NA,NA,NA,Drowning,"Canal near La Joya, Hidalgo County, Texas, USA","26.230763988792, -98.471871184867",https://bit.ly/2MIbrgf
US-Mexico Border,"August 19, 2018",2018,1,NA,NA,NA,Dehydration,"Ranch Fait, Dimmit County, Texas, USA","28.411651400000, -99.812493500000","https://bit.ly/2o2Asol, https://bit.ly/2BFiNg4"
Europe,"August 18, 2018",2018,1,NA,1,NA,Hit by vehicle,"Road between Gistelsteenweg and Kerkeweg, Snellegem, Jabbeke, Belgium","51.178462900000, 3.123883400000","https://bit.ly/2we8rxY, https://bit.ly/2Bpxp3h, https://bit.ly/2PnmYju"
US-Mexico Border,"August 18, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near Ejido El Saucito, Piedras Negras, Coahuila, Mexico","28.718945659620, -100.507989046310",https://bit.ly/2nOKSrI
US-Mexico Border,"August 18, 2018",2018,1,NA,1,NA,Dehydration,"West of Encinal, La Salle County, Texas, USA","28.030813818040, -99.431382996875",https://bit.ly/2nRFQL7
US-Mexico Border,"August 18, 2018",2018,1,NA,1,NA,Exposure,"Pima County, Arizona, USA","31.915967400000, -111.964844100000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"August 17, 2018",2018,1,NA,NA,NA,Unknown,"Near Highway 77 and Old Refugio Road, Victoria, Victoria County, Texas, USA","28.670797351226, -97.046597961963",https://bit.ly/2Mnbyyz
US-Mexico Border,"August 17, 2018",2018,1,NA,NA,NA,Presumed drowning,"Río Bravo, near Hidalgo, Hidalgo County, Texas, USA","26.093725796304, -98.268904886816",https://bit.ly/2Mnbyyz
US-Mexico Border,"August 17, 2018",2018,1,NA,NA,NA,Presumed drowning,"Water basin near Mercedes, Hidalgo County, Texas, USA","26.132538237162, -97.912924554492",https://bit.ly/2MIbrgf
Mediterranean,"August 17, 2018",2018,8,NA,8,NA,Presumed drowning,"Unspecified location off the coast of Jebiniana, near Sfax, Tunisia","34.968617654974, 11.217615369531","https://bit.ly/2wf6ukV, https://bit.ly/2nOBPqK"
US-Mexico Border,"August 16, 2018",2018,1,1,NA,NA,Drowning,"Río Bravo, near International Bridge II, Piedras Negras, Coahuila, Mexico","28.698921580669, -100.511122346290","https://bit.ly/2MExJPK, https://bit.ly/2N72aeo"
Caribbean,"August 15, 2018",2018,3,NA,3,NA,Presumed drowning,"Off the coast of Rincón, Puerto Rico","18.341129048472, -67.345046302832","https://bit.ly/2o8koBG, https://bit.ly/2LmiHtz"
US-Mexico Border,"August 15, 2018",2018,1,1,NA,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.583904100000, -111.754932400000",http://www.humaneborders.info/app/map.asp
Central America,"August 15, 2018",2018,3,NA,NA,NA,Train Accident,"Hospital Doctor Valentín Gómez Farías, Coatzacoalcos, Veracruz, Mexico","18.145195500000, -94.424236600000","https://bit.ly/2MlTRza, https://bit.ly/2OEN7ZM"
US-Mexico Border,"August 15, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near Club Cougars, Piedras Negras, Coahuila, Mexico","28.712224010642, -100.508598909650","https://bit.ly/2KXAirg, https://bit.ly/2PcVv3O"
South America,"August 14, 2018",2018,4,1,3,NA,Vehicle Accident,"KM 8 highway Pifo-Papallacta, near Quito, Ecuador","-0.229794930466, -78.342864800525","https://bit.ly/2MsvLCh, https://bit.ly/2nI5gui, https://bit.ly/2wbkMTo"
US-Mexico Border,"August 13, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Briscoe Ranch, Maverick County, Texas, USA","28.741047300000, -100.349789500000","https://bit.ly/2PED609, https://bit.ly/2BS9BFq"
Europe,"August 13, 2018",2018,2,NA,2,NA,Rockslide,"Drežnica forest, west of Drežnica village (southwest of Ogulin), Croatia. See coordinates for exact location.","45.158921100000, 15.018244300000","https://bit.ly/2B7ntLH, https://bit.ly/2OsTE9Y"
North Africa,"August 12, 2018",2018,2,NA,2,1,Fall from vehicle,"Kenitra, Morocco","34.501136423278, -6.480526609766","https://bit.ly/2MNPzNe, https://bit.ly/2MtqcDo, https://bit.ly/2nQHrAH, https://bit.ly/2PH2r9B, https://bit.ly/2oBrAXb, https://bit.ly/2MMqpCO"
US-Mexico Border,"August 12, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.057701900000, -112.143021500000",http://www.humaneborders.info/app/map.asp
South America,"August 10, 2018",2018,1,1,NA,1,Hypothermia,"Near Rumichaca International Bridge, Nariño, Colombia, on border with Ecuador","0.814038400000, -77.664037300000",https://bit.ly/2w6ZRl9
US-Mexico Border,"August 10, 2018",2018,1,NA,NA,NA,Unknown,"Pima County, Arizona, USA","31.786126100000, -111.848343600000",http://www.humaneborders.info/app/map.asp
Sub-Saharan Africa,"August 10, 2018",2018,7,NA,NA,NA,Drowning,"Off the coast of Bakau, Gambia","13.532852197015, -16.682755919141","https://bit.ly/2MV5BFi, https://bit.ly/2w8E3Vy, https://bit.ly/2wbmeFd"
Mediterranean,"August 10, 2018",2018,11,NA,5,1,Presumed drowning,"Off the coast of Fnideq, Morocco","35.861086013215, -5.167400566797","https://bit.ly/2BZaaNQ, https://bit.ly/2NnpTXW, https://bit.ly/2MRSFmO, https://bit.ly/2yZ4AWF"
Mediterranean,"August 10, 2018",2018,2,NA,1,NA,Presumed drowning,"Off the coast of Cabo de Gata, Almería, Spain","36.689162302075, -2.213042010742","https://bit.ly/2OCcyvo, https://bit.ly/2OAAkrk"
Mediterranean,"August 09, 2018",2018,9,2,NA,7,Drowning,"Off the coast of Kuşadası, Aydın Province,Turkey","37.843816253407, 27.197843613281","http://www.sahilguvenlik.gov.tr/, https://bit.ly/2OXjvIr, https://bit.ly/2MKGswJ"
Central America,"August 08, 2018",2018,1,NA,1,NA,Electrocution on railway,"Train tracks near Puente Blanco, Culiacán, Sinaloa, Mexico","24.807494638807, -107.408366459000",https://bit.ly/2PlzGP7
US-Mexico Border,"August 08, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.087759600000, -112.905880200000",http://www.humaneborders.info/app/map.asp
South America,"August 08, 2018",2018,3,NA,NA,NA,Hypothermia,"Road between Cúcuta and Bucaramanga, near Berlín, Santander province, Colombia","7.188704860106, -72.883729153442",https://bit.ly/2MGli6Z
US-Mexico Border,"August 07, 2018",2018,1,1,NA,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.969853700000, -111.427588800000",http://www.humaneborders.info/app/map.asp
Mediterranean,"August 07, 2018",2018,1,1,NA,NA,Presumed drowning,"Off the coast of Cape Trafalgar, Cádiz, Spain","36.153127985126, -6.069267257422","https://bit.ly/2nC4iQo, https://bit.ly/2McJ3Dv"
Mediterranean,"August 07, 2018",2018,1,NA,NA,NA,Drowning,"Off the coast of Demre, Antalya Province Turkey","36.104543591175, 30.033897823613",https://bit.ly/2nmGL5L
Central America,"August 06, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks near Estación Minerva, Parras de la Fuente, Coahuila, Mexico","25.449288300000, -102.174707700000","https://bit.ly/2Nmqnh9, https://bit.ly/2MzIKTz"
Central America,"August 05, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks in Santa Maria Texcalac, Tlaxcala, Mexico","19.409854604918, -98.094324519080","https://bit.ly/2OqYWTi, https://bit.ly/2KKsclW"
US-Mexico Border,"August 05, 2018",2018,1,NA,1,NA,Drowning,"Cochise County, Arizona, USA","31.382007000000, -110.076391000000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"August 05, 2018",2018,1,NA,1,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","31.689844600000, -111.165268700000",http://www.humaneborders.info/app/map.asp
Central America,"August 04, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks near Estación Berrendos, Charcas, San Luis Potosí, Mexico","23.127888900000, -101.113615300000","https://bit.ly/2KyDJ7M, https://bit.ly/2BLDRlf"
US-Mexico Border,"August 03, 2018",2018,1,NA,1,NA,Exposure,"Pima County, Arizona, USA","32.393510600000, -112.848571900000",http://www.humaneborders.info/app/map.asp
South Asia,"August 02, 2018",2018,5,NA,NA,NA,Vehicle Accident,"Unspecified location on highway between Khash and Saravan, Iran","28.008390523867, 61.442049867502",https://bit.ly/2OkVNEQ
US-Mexico Border,"August 02, 2018",2018,1,NA,1,NA,Exposure,"Pima County, Arizona, USA","32.057701900000, -112.143021500000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"August 01, 2018",2018,38,NA,NA,NA,Mixed,"Webb County jurisdiction, Texas","27.817448700000, -99.012892600000",https://bit.ly/2LKRYMn
Europe,"August 01, 2018",2018,2,NA,NA,NA,Shot,"Road near Dobrinci, 45km northwest of Belgrade, Serbia","44.974449704770, 19.920842263477",https://reut.rs/2McCvRp
US-Mexico Border,"August 01, 2018",2018,1,NA,1,NA,Exposure,"Pima County, Arizona, USA","31.934973186308, -112.840707577590",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"July 31, 2018",2018,1,NA,1,NA,Unknown,"Near Pharr, Hidalgo County, Texas, USA","26.154179363538, -98.178919002675",https://bit.ly/2OFQIaS
North Africa,"July 30, 2018",2018,3,NA,3,NA,Unknown,"100km west of Al Jaghbub, Libya","29.801950923564, 24.172143055078",https://bit.ly/2M75OYw
US-Mexico Border,"July 30, 2018",2018,1,NA,1,NA,Drowning,"Irrigation canal near Clint, El Paso County, Texas, USA","31.583636465275, -106.226848566690","https://bit.ly/2OC4KcR, https://bit.ly/2NWUnjy"
Mediterranean,"July 30, 2018",2018,1,NA,1,NA,Drowning,"Off the coast of Achakkar, Tangier, Morocco","35.839071004483, -5.940122119141",https://bit.ly/2v1HNZl
US-Mexico Border,"July 30, 2018",2018,1,NA,NA,NA,Unknown,"Pima County, Arizona, USA","32.124401300000, -111.722357500000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"July 30, 2018",2018,1,NA,NA,NA,Unknown,"Pima County, Arizona, USA","31.983870900000, -112.821941900000",http://www.humaneborders.info/app/map.asp
Mediterranean,"July 29, 2018",2018,6,2,1,3,Drowning,"Between Ayvalik, Turkey and Lesvos, Greece","39.253815876194, 26.570164099609","https://bit.ly/2mTgbBf, https://bit.ly/2v2gluh"
Europe,"July 29, 2018",2018,1,NA,1,1,Drowning,"Evros/Meriç river, Greece-Turkey border","40.914511355632, 26.260509666650",https://bit.ly/2Axy3vc
Middle East,"July 28, 2018",2018,6,NA,NA,NA,Struck by lightning bolt,"Jazan province, Saudi Arabia, near border with Yemen","16.583541937366, 42.850998310625","https://bit.ly/2OpwBh0, https://bit.ly/2mRypCZ"
US-Mexico Border,"July 26, 2018",2018,1,NA,NA,NA,Unknown,"Ranch near Falfurrias, Brooks County, Texas, USA","27.018368739267, -98.326540369141",https://bit.ly/2v3hXmS
Mediterranean,"July 25, 2018",2018,2,NA,2,NA,Presumed drowning,"Bodies recovered in Tajoura, Libya","32.871782897208, 13.416166775391",NA
US-Mexico Border,"July 25, 2018",2018,1,NA,1,NA,Dehydration,"17km east of the USBP Calexico East Port of Entry, Calexico, Imperial County, California, USA","32.676980622590, -115.375604373970",https://bit.ly/2LWyDH1
Mediterranean,"July 24, 2018",2018,10,NA,NA,NA,Drowning,"Alboran Sea, off the coast of Al-Hoceima, Morocco","35.535640003676, -4.027877171094","https://bit.ly/2uLLphN, https://bit.ly/2LTO3sg, https://bit.ly/2Ok9VPw"
North Africa,"July 24, 2018",2018,1,NA,1,NA,Shot,"Checkpoint in Al Baydan, Libya","25.853161000000, 14.222440000000","https://bit.ly/2OigEcD, https://bit.ly/2Ol98gX"
US-Mexico Border,"July 24, 2018",2018,1,NA,1,NA,Cardiac arrest,"Ranch near Sullivan City, Hidalgo County, Texas, USA","26.296039752680, -98.565006291016",https://bit.ly/2LPplcI
US-Mexico Border,"July 24, 2018",2018,1,NA,NA,NA,Dehydration,"Ranch near Holtville, Imperial County, California, USA","32.701345085630, -115.252737394130",https://bit.ly/2LWyDH1
South America,"July 24, 2018",2018,1,1,NA,NA,Hypothermia,"Road between Cúcuta and Bucaramanga, near Berlín, Santander province, Colombia","7.183340000000, -72.883300000000",https://bit.ly/2uRT2Uf
US-Mexico Border,"July 24, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near International Bridge I, Nuevo Laredo, Tamaulipas, Mexico","27.499223816780, -99.507652403705",https://bit.ly/2OjLlhJ
US-Mexico Border,"July 24, 2018",2018,1,NA,1,NA,Probable hyperthermia,"Pima County, Arizona, USA","31.852934300000, -112.728750500000",http://www.humaneborders.info/app/map.asp
Europe,"July 23, 2018",2018,1,NA,1,NA,Stabbed,Near Greek border with the former Yugoslav Republic of Macedonia,"41.076758001353, 22.239659765625",https://bit.ly/2LTo5t3
US-Mexico Border,"July 23, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.377021100000, -113.165430700000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"July 23, 2018",2018,1,NA,NA,NA,Unknown (skeletal remains),"Pima County, Arizona, USA","32.377021100000, -113.165430700000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"July 22, 2018",2018,1,1,NA,NA,Dehydration,"Ranch near Laredo, Webb County, Texas, USA","27.591228418645, -99.405928364844",https://bit.ly/2uRuo66
US-Mexico Border,"July 22, 2018",2018,1,NA,NA,NA,Unknown (mummified remains),"Pima County, Arizona, USA","32.025035700000, -111.326864900000",http://www.humaneborders.info/app/map.asp
US-Mexico Border,"July 21, 2018",2018,1,NA,1,NA,Dehydration,"Ranch near Hebbronville, Jim Hogg County, Texas, USA","27.135738507782, -98.646765906641",https://bit.ly/2K2bPAY
US-Mexico Border,"July 21, 2018",2018,1,1,NA,NA,Dehydration,"Ranch near Laredo, Webb County, Texas, USA","27.604615841947, -99.399061909766",https://bit.ly/2LYaz6E
US-Mexico Border,"July 21, 2018",2018,1,NA,1,NA,Dehydration,"Ranch in Imperial County, California, USA","32.674465067664, -115.631283866800","https://bit.ly/2LWyDH1, https://bit.ly/2vbT6OG"
Central America,"July 21, 2018",2018,1,NA,1,NA,Hit by train,"Train tracks near Colonia Pascualitos, Mexicali, Mexico","32.388181600000, -115.225726400000","https://bit.ly/2OFHSKn, https://bit.ly/2AEFCQK"
Mediterranean,"July 20, 2018",2018,3,NA,NA,NA,Presumed drowning,"Off the coast of Cherchell, Wilaya of Tipasa, Algeria","36.827365026355, 2.019972303906","https://bit.ly/2K7OD46, https://bit.ly/2vemF1e"
US-Mexico Border,"July 20, 2018",2018,1,NA,1,NA,Drowning,"Río Bravo, near International Bridge II, Piedras Negras, Coahuila, Mexico","28.697425359808, -100.510825480810",https://bit.ly/2uJlgjL
Europe,"July 20, 2018",2018,2,NA,NA,NA,Hit by train,"Alexandroupolis-Ormenio train line, near Antheia, Alexandropoulis, Greece","40.871091800000, 26.047733822656","https://bit.ly/2NDNIe1, https://bit.ly/2NyMiBt"
Middle East,"July 19, 2018",2018,4,1,3,3,Drowning,"Bodies recovered from the Evros/Meriç river, near Didymóteicho, Greece","41.326511291792, 26.509713432910","https://bit.ly/2AbaeJt, https://bit.ly/2mDV2La"
Mediterranean,"July 19, 2018",2018,2,1,1,NA,Presumed drowning,"Bodies recovered in Tajoura and Garabulli, Libya","32.807168437915, 13.553495876953",NA
Horn of Africa,"July 19, 2018",2018,5,2,3,NA,Drowning,"Bodies retrieved in Al Shoghayrat, Shabwa Governorate, Yemen","13.208862145310, 47.032619421875",NA
Central America,"July 19, 2018",2018,1,NA,1,NA,Fall from train,"Train tracks near Colonia Providencia, Saltillo, Coahuila, Mexico","25.420564220696, -101.016036964530","https://bit.ly/2LwI6S8, https://bit.ly/2vfqmV7"
